#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
24,"Blackbird Song - From  The Walking Dead ","Lee DeWyze",74,8A,27,2017-11-29,04:14,45,"","Blackbird Song",2014-01-01,29,43,63,19,0,10,-10,A Minor,4,41FUDbrnvoc7RH0APur9jy,USVG21403526,no
25,"Be Good","Emily Kinney",78,11B,42,2017-11-29,02:59,35,"","Expired Love",2014-03-18,68,56,1,26,0,10,-9,A Major,4,5CrGX8ac1C5XPeF0hfOpAs,US5X61400095,no
26,"Maybe","The Ink Spots",92,6B,7,2017-11-29,03:04,30,"adult standards","Ink Spots Favorites",1999-01-01,38,99,76,21,0,10,-20,A#/B♭ Major,4,7cmI5N55E1nMoxfYJxqjw0,USMC14047355,no
27,"Be Not So Fearful","A.C. Newman",80,1B,27,2017-11-29,02:18,35,"power pop","The Walking Dead: AMC Original Soundtrack, Vol. 2",2014-03-25,62,89,0,29,0,10,-11,B Major,4,7i4JaIRKhEwWdepqfpNqEy,USMTD1404790,no
28,"Be Gone Dull Cage - Walker Version","Kiev",80,8A,56,2017-11-29,06:21,24,"","Be Gone Dull Cage (Walker Version)",2014-10-27,57,26,87,48,0,0,-8,A Minor,4,4apRpkXLJSt8vTUvYlMubM,USUG11401745,no
29,"You Better Run","Junior Kimbrough",160,5A,43,2017-11-29,07:33,18,"blues, country blues, classic blues","All Night Long",1995-00-00,44,27,51,60,0,10,-18,C Minor,4,24DboHqgSPeCfKlBEBSlVZ,USFP70400315,no
30,"Nobody's Fault But Mine","Blind Willie Johnson",167,6A,31,2017-11-29,03:11,0,"blues, classic blues, country blues","The Roots of Led Zeppelin",2008-01-01,56,98,0,48,0,10,-12,G Minor,4,1wDWUgCVsEAMiwqfqO2m9A,USA560743549,no
31,"May The Work I've Done Speak For Me","The Consolers",148,7B,21,2017-11-29,02:56,0,"traditional gospel, gospel","The Best Of The Consolers",2014-01-01,45,52,0,56,0,10,-14,F Major,3,6oWvVoiHl9eZWlfqytYGhP,USUM71400739,no
32,"Bad Blood - From The Walking Dead","Alison Mosshart,Eric Arjes",119,3A,41,2017-11-29,03:37,34,"southern gothic","Bad Blood (From The Walking Dead)",2014-11-10,43,24,21,14,0,10,-9,A#/B♭ Minor,4,1y6gIO75NlJsNh5iUwjniI,QMLST1400301,no
33,"Struggling Man","Jimmy Cliff",118,10B,59,2017-11-29,03:27,38,"reggae, rocksteady, roots reggae","Struggling Man",1973-00-00,96,50,0,89,0,0,-11,D Major,4,4c6qeQX0bIejYckXYaz4gO,GBAPA7300004,no
34,"Spicks And Specks","Bee Gees",122,10B,63,2017-11-29,02:54,0,"disco","Spicks And Specks",1966-11-01,67,75,0,68,0,40,-8,D Major,4,6RrWUG3xXhbUSCYyo2Wou1,USUG11601740,no
35,"Internet Friends","Knife Party",128,4A,90,2017-11-29,05:01,61,"dubstep, moombahton, edm","100% No Modern Talking",2012-08-01,64,0,5,15,10,10,-3,F Minor,4,5qFL2uwfnGU8FccwLMgPNQ,GBAHT1200462,yes
36,"Somewhat Damaged","Nine Inch Nails",110,5A,75,2017-11-29,04:31,54,"industrial rock, industrial, industrial metal, alternative metal, nu metal","The Fragile",1999-09-21,68,0,20,35,0,20,-8,C Minor,3,0yUyPe5c1o5cCyV7aJkz6F,USIR19902581,yes
37,"Love And Mercy - From The Walking Dead","Gazelle Twin",106,11B,28,2017-11-29,03:30,24,"witch house","Love And Mercy (From The Walking Dead)",2015-04-21,35,85,73,7,0,10,-16,A Major,4,6xctHZIHDfTMx9g3QRvPPk,UKX5N1100092,no
38,"More Than a Feeling","Boston",109,9B,68,2017-11-29,04:45,86,"classic rock, aor","Boston",1976-00-00,38,0,0,28,0,0,-8,G Major,4,1QEEqeFIZktqIpPI4jSVSF,USSM17600941,no
39,"Action Packed","Ronnie Dawson",142,9B,77,2017-11-29,02:17,0,"rockabilly, psychobilly","Rockin' Bones",2012-01-10,59,2,0,82,10,20,-7,G Major,4,5X4RBTKTA0FENrLxHUfZkr,USA371538858,no
40,"If My Heart Was A Car","Old 97's",131,5A,94,2017-11-29,03:30,0,"alt country, americana","Hitchhike To Rhome",2014-11-14,50,1,0,76,0,10,-6,C Minor,4,5bNPNKOneDQ0OSMJVM1f2l,QMWHB1400882,no
41,"Weeds or Wildflowers","Parsonsfield",130,1B,81,2017-11-29,02:51,0,"folk pop","Poor Old Shine",2014-03-18,70,60,0,75,10,10,-4,B Major,4,48bskdBoz8aLOMAByH2UNO,USFMT1405901,no
42,"Arsonist's Lullabye","Hozier",65,11A,37,2017-11-29,04:26,56,"","From Eden EP",2014-03-09,46,67,7,18,0,10,-11,F#/G♭ Minor,4,1UWhx0pFZccP4jdCIZsj7U,USSM11401476,no
43,"Chapel","Nicole Dollanganger",84,11B,7,2017-11-29,04:22,39,"southern gothic","Chapel",2016-03-20,36,92,0,13,0,10,-20,A Major,1,2gvBNkTHht6dO8RYaa7bWP,TCACN1612154,no
44,"It's All Over","Johnny Cash",103,5B,13,2017-11-29,02:48,40,"classic country, outlaw country, country","Bootleg Vol. I: Personal File",2006-05-23,57,94,0,55,0,10,-12,D#/E♭ Major,3,0BDEK8FwLf51O2vrc5dBBW,USSM19902187,no
45,"Town Called Malice","The Jam",102,9B,91,2017-11-29,02:53,69,"punk, new wave, britpop, power pop","The Gift",1982-03-12,54,0,1,78,0,0,-9,G Major,4,0gdmDP6xy3ZV7JNoHWAN9k,GBAKW8201004,no
46,"Easy Street (feat. Jim Bianco & Petra Haden)","The Collapsable Hearts Club,Jim Bianco,Petra Haden",176,8B,81,2017-11-29,01:45,48,"","Easy Street (feat. Jim Bianco & Petra Haden)",2017-03-21,67,34,0,96,20,0,-1,C Major,4,5wXzvEwBZLf7x9XqRGbU4z,USUS11700132,no
47,"Crying","Roy Orbison",97,10B,29,2017-11-29,02:48,61,"rockabilly","Crying",1962-01-01,35,76,0,16,0,10,-10,D Major,4,6eLL7QTdMWdhhG4i3jHDR9,USSM16101208,no
48,"Everything's Fucked","Dirty Three",77,9B,40,2017-11-29,05:32,0,"post-rock, slowcore","Dirty Three",1995-07-25,24,16,66,15,0,0,-10,G Major,3,0J18lU4x3pCAt7Z9C60z72,USTG39514705,no
49,"Bang Bang","Janis Martin",99,12B,84,2017-11-29,02:00,32,"rockabilly, boogie-woogie, expressionism, psychobilly, rock and roll","We Love You To Pieces",2009-09-07,67,77,0,96,0,0,-8,E Major,4,6kwlouu65gY2IBYxVGxNJ4,USA370950000,no
50,"The Program","Ben Wise",104,6B,71,2017-11-29,03:55,0,"","Beside the Dial",2008-01-01,53,1,0,40,0,10,-5,A#/B♭ Major,4,5xAEQLG32UPGO34keLx97B,USLTU0700003,no
51,"Everything Right Is Wrong Again","They Might Be Giants",172,11B,72,2017-11-29,02:20,30,"","They Might Be Giants",1986-11-04,43,16,1,74,0,10,-12,A Major,4,0I5fPx6kaubuWaN5IalTpS,USRS72603001,no
52,"Someday We'll All Be Free","Donny Hathaway",77,2B,41,2017-11-29,04:10,43,"soul, classic soul","A Donny Hathaway Collection",2007-01-29,38,45,0,25,0,10,-11,F#/G♭ Major,4,5J5rzvpYAQHlELldedLT9X,USAT20180578,no
53,"Just Freedom","Midi Marc",77,2B,65,2017-11-29,04:32,0,"country hip hop","No Lyrics Necessary",2014-02-14,62,2,22,71,0,0,-6,F#/G♭ Major,3,7BYphJ0iAaFQfaFgj9DYyi,TCABU1431555,no
54,"At The Bottom Of Everything","Bright Eyes",107,8B,46,2019-10-23,04:34,0,"indie folk","I'm Wide Awake, It's Morning",2005-01-25,50,67,0,82,0,30,-11,C Major,4,6588w3GdDxmdtLMLuwf1tO,US2U60507201,no
55,"Heaven I Know - Acoustic","Gordi",137,8B,26,2019-10-30,05:08,0,"","Beneath The Reservoir",2019-01-31,56,93,0,20,0,0,-12,C Major,4,2kyTpaJyFoePBariIib5yv,US38Y1934102,no
