#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Blood In The Cut","K.Flay",130,10B,66,2026-07-02,03:08,62,"","Every Where Is Some Where",2017-04-07,77,12,2,64,0,10,-5,D Major,4,4q604hQba5940BbOoaenmz,USUM71607030,yes
2,"Inside Out","Eve 6",176,1B,82,2026-07-02,03:39,71,"post-grunge","Eve 6",1998-00-00,48,11,0,69,0,30,-8,B Major,4,4GiVcDqNQI0fc0yYuRGH9m,USRC19806848,no
3,"Uprising","Muse",128,10B,91,2026-07-02,05:04,81,"alternative rock, rock","The Resistance",2009-09-10,60,0,6,41,0,10,-4,D Major,4,4VqPOruhp5EdPBeR92t6lQ,GBAHT0900320,no
4,"American Dreams","Papa Roach",109,10B,88,2026-07-02,03:23,0,"nu metal, rap metal, alternative metal, rap rock, rock","Crooked Teeth (Deluxe)",2017-05-19,59,0,0,40,0,10,-6,D Major,4,4CTgCROhytFCN0o8t4CYAO,USDPK1700002,yes
5,"Come with Me Now","KONGOS",104,3A,73,2026-07-02,03:31,71,"","Lunatic",2014-01-27,65,3,0,73,0,0,-4,A#/B♭ Minor,4,2kWowW0k4oFymhkr7LmvzO,USY741100002,no
6,"Ban All the Music","Nothing But Thieves",165,8B,95,2026-07-02,02:52,45,"","Nothing But Thieves (Deluxe)",2015-10-16,28,0,0,37,10,30,-4,C Major,4,1wzbGtVEdpxHyieUIkeh3N,GBARL1500789,no
7,"Dark Necessities","Red Hot Chili Peppers",92,4A,74,2026-07-02,05:02,81,"funk rock, alternative rock, rock","The Getaway",2016-06-17,70,7,2,20,0,10,-7,F Minor,4,2oaK4JLVnmRGIO9ytBE1bt,USWB11600478,no
