#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
25,"Work Song","Hozier",121,6B,36,-,03:49,78,"","Hozier (Expanded Edition)",2014-09-19,53,75,0,26,0,10,-8,A#/B♭ Major,4,5TgEJ62DOzBpGxZ7WRsrqb,USSM11401475,no
26,"Ghost Town","Benson Boone",174,8B,34,-,03:13,67,"","Ghost Town",2021-10-15,39,39,0,12,0,10,-10,C Major,3,135Lf4Q0CzlMNfOxbEUsLH,USWB12103472,no
27,"Broken Halos","Chris Stapleton",78,4B,56,-,03:00,80,"country, outlaw country","From A Room: Volume 1",2017-05-05,61,13,0,54,0,0,-7,G#/A♭ Major,4,06gD2ZtK3Dzc1BYqWExQJJ,USUM71701961,no
28,"Every Morning","Sugar Ray",110,4B,68,-,03:39,77,"","14:59",1999-01-12,83,8,0,98,0,0,-4,G#/A♭ Major,4,2ouURa1AIXp3AvkS52Jry5,USAT20902980,no
29,"Tear in My Heart","Twenty One Pilots",120,10B,63,-,03:08,78,"","Blurryface",2015-05-15,66,2,0,45,0,0,-5,D Major,4,3bnVBN67NBEzedqQuWrpP4,USAT21500390,no
30,"In Stride","Myles Kennedy",135,9B,91,-,03:47,38,"","The Ides of March",2021-05-14,41,0,0,45,10,30,-5,G Major,4,1l6y7uGONbXJ9Rfr42K01e,ATN262198703,no
31,"Think I'm In Love With You","Chris Stapleton",92,11A,42,-,03:42,73,"country, outlaw country","Think I’m In Love With You",2023-09-08,67,19,22,61,0,10,-14,F#/G♭ Minor,4,65M92JpTbAdHmTQm4jGaDa,USUG12300474,no
32,"Would That I","Hozier",131,7B,53,-,04:28,74,"","Wasteland, Baby!",2019-03-01,52,24,1,50,0,10,-6,F Major,4,37zuIvk4KBkAxxLJsxJaHq,USSM11809035,no
33,"Ride","Twenty One Pilots",75,2B,71,-,03:34,88,"","Blurryface",2015-05-15,65,1,0,57,0,10,-5,F#/G♭ Major,4,2Z8WuEywRWYTKe1NybPQEW,USAT21500598,no
34,"Love Can Only Heal","Myles Kennedy",129,2A,71,-,05:32,41,"","Year of the Tiger",2018-03-09,44,8,0,42,0,10,-7,D#/E♭ Minor,4,7DqjqECeBZdD1QPUJUjTTA,ATN261877010,no
35,"Tennessee Whiskey","Chris Stapleton",49,11B,37,-,04:53,88,"country, outlaw country","Traveller",2015-05-04,39,21,1,51,0,0,-11,A Major,4,3fqwjXwUGN6vbzIwvyFMhx,USUM71418088,no
36,"Sugar Sweet","Benson Boone",170,10B,83,-,02:49,70,"","Sugar Sweet",2023-03-03,54,3,0,62,20,0,-3,D Major,4,5ZzaQW3InamKZ0KdJVQ1GO,USWB12300270,no
37,"America's Sweetheart","Elle King",128,3B,93,-,04:05,62,"","Love Stuff",2015-02-13,53,2,0,40,0,30,-4,C♯/D♭ Major,4,2NcstvY8H9PVQ0DMNGHckh,USRC11402897,no
38,"As We Ran","The National Parks",144,11B,57,-,03:20,53,"folk pop","As We Ran",2014-01-28,41,2,1,18,0,30,-7,A Major,4,2VDKSRDTpqWgczc33Lk9h5,USCGH1415693,no
39,"Burn The House Down","AJR",184,8B,66,-,03:32,72,"","The Click (Deluxe Edition)",2018-09-21,46,4,0,58,10,10,-4,C Major,4,2QKLrgXNQtK2c8QbLRO3XC,QMRSZ1702960,yes
40,"Centuries","Fall Out Boy",176,9A,86,-,03:48,85,"emo, pop punk","American Beauty/American Psycho",2015-01-16,39,0,0,56,0,10,-3,E Minor,4,04aAxqtGp5pv12UXAg4pkq,USUM71412644,no
41,"The Things I've Seen","Tremonti",78,7A,91,-,04:37,48,"alternative metal, post-grunge, hard rock","All I Was",2012-07-17,27,0,0,16,0,0,-5,D Minor,4,0zufJqCwu8g5dWTMwlOStR,USTYW1212005,no
42,"Fortunate Son","Creedence Clearwater Revival",133,8B,66,-,02:20,88,"classic rock, southern rock, country rock","Willy And The Poor Boys (Expanded Edition)",1969-11-02,64,20,1,66,0,10,-8,C Major,4,4BP3uh0hFLFRb5cjsgLqDh,USC4R0817618,no
43,"Ghost","Josiah and the Bonnevilles",78,4B,36,-,02:26,1,"","2022",2022-12-14,61,73,0,51,0,10,-9,G#/A♭ Major,4,1IUEz40wavYETWJgak8iI3,TCAGG2211362,no
44,"Parachute","Chris Stapleton",113,2B,76,-,04:13,80,"country, outlaw country","Traveller",2015-05-04,64,1,0,61,0,10,-7,F#/G♭ Major,4,5jROdl6MhcmP3O7h2sVgtw,USUM71418084,no
45,"Good Lord Lorrie","Turnpike Troubadours",79,9B,65,-,05:01,68,"red dirt, texas country, alt country, country, outlaw country, americana","Goodbye Normal Street",2012-05-08,56,27,0,58,0,30,-7,G Major,4,0pghPocTwFg6ckBUs52SQ8,USTT21200008,no
46,"Saving Face","Myles Kennedy",129,3B,91,-,04:10,24,"","The Art Of Letting Go",2024-10-11,50,0,0,43,10,0,-4,C♯/D♭ Major,4,6fwiaDfJjDv5y6NYLLuYxi,ATN262429406,no
47,"Homesick","Noah Kahan",170,2B,62,-,03:14,75,"","Stick Season",2022-10-14,51,3,0,41,0,30,-7,F#/G♭ Major,4,0jkzxxDG8z3Y5OmfNl1VM0,USUM72217180,yes
48,"I Remember Everything (feat. Kacey Musgraves)","Zach Bryan,Kacey Musgraves",78,8B,45,-,03:47,88,"country, red dirt, ","Zach Bryan",2023-08-25,43,55,0,16,0,10,-8,C Major,4,4KULAymBBJcPRpk1yO4dOG,USWB12304903,no
49,"Please Please Please","Sabrina Carpenter",107,11B,59,-,03:06,80,"pop","Please Please Please",2024-06-06,67,27,0,58,0,10,-6,A Major,4,5N3hjp1WNayUPZrA8kJmJP,USUM72404101,yes
50,"Blood Moon","Josiah and the Bonnevilles",133,4B,40,-,02:48,0,"","2022",2022-12-14,65,64,0,44,0,0,-10,G#/A♭ Major,4,37J6sYIBny0g0YJi88FPnc,TCAGE2209806,no
51,"Up the Wolves","The Mountain Goats",158,10B,37,-,03:27,46,"folk punk, anti-folk, indie folk","The Sunset Tree",2005-04-25,49,49,0,47,0,0,-9,D Major,4,6AIKEQvWItx9NcjtoNDOjh,GBAFL0400075,no
52,"Half of forever","Henrik",77,11B,31,-,02:33,66,"christian folk, folk pop","Half of forever",2024-01-05,75,73,0,48,0,20,-7,A Major,4,5v3MSh7CD3VNyCwAoSha5p,QZWFS2300538,no
53,"Peach Fuzz","Caamp",127,3B,64,-,03:44,0,"indie folk, folk","By and By",2019-07-26,71,16,0,91,0,10,-8,C♯/D♭ Major,4,7yJbLez2ieMI2PBybVp8Nu,USQE91500931,no
54,"Lonely Boy","The Black Keys",166,10B,87,-,03:13,71,"blues rock, garage rock, modern blues, rock","El Camino",2011-12-06,36,0,1,61,0,10,-8,D Major,4,5G1sTBGbZT5o4PNRc75RKI,USNO11100273,no
55,"This Year","The Mountain Goats",139,11B,72,-,03:52,51,"folk punk, anti-folk, indie folk","The Sunset Tree",2005-04-25,70,12,0,83,0,0,-9,A Major,4,0s9aeZriwqyBYfxFzsd20R,GBAFL0400071,no
56,"Providence","Poor Man's Poison",105,9A,52,-,03:03,68,"southern gothic","Providence",2014-01-28,50,18,0,88,0,0,-10,E Minor,4,4VGR3mr2WbiD0splKGasFc,TCABT1415392,no
57,"The Art Of Letting Go","Myles Kennedy",94,3B,96,-,04:37,30,"","The Art Of Letting Go",2024-10-11,43,0,0,35,20,30,-4,C♯/D♭ Major,4,1iyzMykc9fO5zur2uC0t8w,ATN262429401,no
58,"Like Real People Do","Hozier",140,9B,18,-,03:18,73,"","Hozier (Expanded Edition)",2014-09-19,54,92,39,14,0,10,-14,G Major,3,57V4uc2b2diZ4RPHXWecb9,USSM11307292,no
59,"Millionaire","Chris Stapleton",143,6B,47,-,03:30,77,"country, outlaw country","From A Room: Volume 2",2017-12-01,62,19,1,49,0,10,-10,A#/B♭ Major,4,68JS5SFTnW5Yv9Vzw81Jf0,USUM71710215,no
60,"good 4 u","Olivia Rodrigo",167,11B,66,-,02:58,86,"","SOUR",2021-05-21,56,34,0,69,10,0,-5,A Major,4,4ZtFanR9U6ndgddUvNcjcG,USUG12101245,yes
61,"Clocks","Coldplay",131,4A,75,-,05:07,88,"","A Rush of Blood to the Head",2002-08-27,58,60,1,26,0,10,-7,F Minor,4,0BCPKOYdS2jbQ8iyB56Zns,GBAYE0200771,no
62,"No Children","The Mountain Goats",85,3B,41,-,02:48,61,"folk punk, anti-folk, indie folk","Tallahassee",2003-01-27,61,60,0,41,0,10,-8,C♯/D♭ Major,4,5cxnSTLzGD1t9xcdmJYFVB,GBAFL0101077,no
63,"The Night We Met","Lord Huron",87,10B,37,-,03:28,7,"","Strange Trails",2015-04-07,55,97,27,10,0,60,-10,D Major,3,0QZ5yyl6B6utIWkxeBDxQN,US53Q1200103,no
64,"All This Time","DISPATCH,The White Buffalo",76,2A,43,-,04:52,26,"jam band, southern gothic","Break Our Fall",2021-05-28,28,74,0,51,0,10,-10,D#/E♭ Minor,4,3WIymsnzYtmqZqNPrfzha4,GBKPL2024866,no
65,"Devil on the Wall","Myles Kennedy",175,4B,93,-,03:44,31,"","Year of the Tiger",2018-03-09,38,5,0,30,10,20,-5,G#/A♭ Major,4,62eCnbVXkTxxTKNo6tlnmK,ATN261877004,no
66,"The Legend of Chavo Guerrero","The Mountain Goats",142,10A,86,-,03:00,0,"folk punk, anti-folk, indie folk","Beat the Champ",2015-04-07,69,1,27,91,0,30,-6,B Minor,4,6gPrsmxMd346xXojwswZAN,USMRG1551602,no
67,"Savage","Tim Montana",76,2B,95,-,03:15,36,"country rock, southern rock, outlaw country","Savage",2024-07-12,41,0,0,28,0,10,-3,F#/G♭ Major,4,5hqU6ScGAvDgBgnHuFP7VS,QMRSZ2400719,no
68,"Cry","Benson Boone",108,6B,48,-,03:06,74,"","Fireworks & Rollerblades",2024-04-05,71,10,0,35,0,0,-5,A#/B♭ Major,4,3h76tbaYIamSeJL81X7ZwI,USWB12401092,no
69,"Hard Working Man","Marcus King",128,4A,72,-,03:37,55,"modern blues, blues rock","Young Blood",2022-08-26,50,3,0,71,10,60,-5,F Minor,4,3uQFmhiS49mXaEw2DZbZRr,USUG12202412,no
70,"Orange Juice","Noah Kahan",120,11B,38,-,04:57,80,"","Stick Season",2022-10-14,66,48,0,21,0,10,-11,A Major,4,07UFnnK3uPIuKv5Rs9TmXl,USUM72217174,no
