#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Strip That Down","Liam Payne,Quavo",106,2B,50,2018-02-03,03:24,66,"","Strip That Down",2017-05-18,87,22,0,54,0,0,-5,F#/G♭ Major,4,4Ro98RCK90oHqqSZUnTFq5,GBUM71701628,no
2,"I Knew You Were Trouble.","Taylor Swift",77,2A,47,2018-02-03,03:37,75,"","Red",2012-10-22,62,0,0,68,0,0,-7,D#/E♭ Minor,4,72jCZdH0Lhg93z6Z4hBjgj,USCJY1231039,no
3,"Like I'm Gonna Lose You (feat. John Legend)","Meghan Trainor,John Legend",108,8B,53,2018-02-03,03:45,74,"soft pop, neo soul","Title (Deluxe)",2015-01-12,63,40,0,42,0,10,-7,C Major,3,2YlZnw2ikdb837oKMKjBkW,USSM11408374,no
4,"Stitches","Shawn Mendes",150,3B,75,2018-02-03,03:26,89,"","Handwritten",2015-04-14,75,2,0,76,0,0,-7,C♯/D♭ Major,4,5jsw9uXEGuKyJzs0boZ1bT,USUM71500658,no
5,"Cool for the Summer","Demi Lovato",114,3A,61,2018-02-03,03:34,35,"","Confident",2015-01-01,58,0,0,31,0,10,-6,A#/B♭ Minor,4,39FYgEpWeugyKLeCSMbsQv,USHR11536652,no
6,"Cake By The Ocean","DNCE",119,9A,75,2018-02-03,03:39,86,"","DNCE",2016-11-18,77,15,0,90,0,0,-5,E Minor,4,76hfruVvmfQbw0eYn1nmeC,USUM71514637,yes
7,"Hall of Fame (feat. will.i.am)","The Script,will.i.am",85,6B,87,2018-02-03,03:22,73,"","#3",2012-10-09,42,7,0,63,0,10,-4,A#/B♭ Major,4,1X1DWw2pcNZ8zSub3uhlNz,GBARL1201055,no
8,"Slow Hands","Niall Horan",86,8B,42,2018-02-03,03:08,55,"","Slow Hands",2017-05-04,74,1,0,85,0,0,-7,C Major,4,27vTihlWXiz9f9lJM3XGVU,USUG11700631,no
9,"Close","Nick Jonas,Tove Lo",124,11A,62,2018-02-03,03:54,70,"","Last Year Was Complicated",2016-06-10,65,25,0,40,0,10,-5,F#/G♭ Minor,4,3lSDIJ2abCrOdDJ6pshUap,USUM71602394,no
10,"Attention","Charlie Puth",100,2A,63,2018-02-03,03:31,6,"soft pop","Attention",2017-04-20,77,10,0,78,0,0,-4,D#/E♭ Minor,4,4iLqG9SeJSnt0cSPICSjxv,USAT21700928,no
11,"Say Amen (Saturday Night)","Panic! At The Disco",168,11A,87,2018-05-26,03:09,37,"emo","Say Amen for Silver Linings",2018-03-21,49,17,0,60,10,40,-2,F#/G♭ Minor,4,4qSsjDGXplb6422X2INvFW,USAT21801041,no
12,"It Had to Be You (Big Band and Vocals)","Harry Connick, Jr.",126,7B,28,2024-10-04,02:38,53,"christmas, big band, vocal jazz, adult standards","When Harry Met Sally... Music From The Motion Picture",1989-07-25,54,68,0,41,0,10,-13,F Major,4,58Znl2X9CgsghGUZrkEUr4,USSM18900491,no
