#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"The Last Stand","Sabaton",104,6A,94,2024-11-04,03:55,72,"power metal, metal, heavy metal, symphonic metal, folk metal","The Last Stand",2016-08-19,52,0,0,50,0,0,-6,G Minor,4,0bUgTRe5st6TMbRCEjKezX,DED831600523,no
2,"Wolf Totem","The HU",86,4B,72,2024-11-04,05:38,1,"folk metal","The Gereg",2019-09-13,63,9,5,49,0,90,-8,G#/A♭ Major,4,4YV9G5dIiOBGtWNG6AMRgG,TCADY1880557,no
3,"Yuve Yuve Yu","The HU",132,3A,85,2024-11-04,04:42,0,"folk metal","The Gereg",2019-09-13,63,2,25,32,0,10,-6,A#/B♭ Minor,4,2huR9BaWUtNT8Txwy3nPOx,TCADX1835822,no
4,"Down with the Sickness","Disturbed",90,2A,88,2024-11-04,04:39,81,"metal, nu metal, alternative metal, rap metal, hard rock","The Sickness",2000-03-07,70,0,0,94,0,10,-4,D#/E♭ Minor,4,40rvBMQizxkIqnjPdEWY1v,USGI19900180,yes
5,"To Hell and Back","Sabaton",127,8B,85,2024-11-04,03:26,71,"power metal, metal, heavy metal, symphonic metal, folk metal","Heroes",2014-05-16,54,0,0,31,0,10,-5,C Major,4,1BrgjqSg9du0lj3TUMLluL,SE2EG1400105,no
6,"Valhalla Calling","Miracle Of Sound",76,10A,58,2024-11-04,03:42,71,"sea shanties, medieval, medieval metal","Level 11",2020-12-22,56,43,0,70,0,0,-11,B Minor,4,2nRKJI3XsWPb5d8VXwn2iK,QZPLR2029312,no
