#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC,Explicit
1,"Hell's Comin' with Me","Poor Man's Poison",130,9A,57,-,03:32,75,"southern gothic","Hell's Comin' with Me",2019-12-13,58,33,0,55,0,10,-10,E Minor,4,5N0lmKQfQpXNQNjUGlPKIT,TCAEN1964122,no
2,"Silver Lining","Mt. Joy",144,8B,62,-,03:18,4,"","Mt. Joy",2018-03-02,54,0,0,20,0,10,-7,C Major,4,0i5QVxsK3IvEDbUjTA64Li,USDMG1785501,no
3,"Only the Wild Ones","DISPATCH",111,4B,69,-,04:13,58,"jam band","America, Location 12",2017-06-02,42,44,0,59,0,10,-7,G#/A♭ Major,4,3LwjMORRPuf7j7WiFHW350,GBWWP1702594,no
4,"No Good","KALEO",109,11B,93,-,03:54,71,"","A/B",2016-06-10,38,2,0,58,10,10,-4,A Major,4,0Tr5G2mE56eLUGvCaXRM8I,USAT21601267,no
5,"Orange Juice","Noah Kahan",120,11B,38,-,04:57,80,"","Stick Season",2022-10-14,66,48,0,21,0,10,-11,A Major,4,07UFnnK3uPIuKv5Rs9TmXl,USUM72217174,no
6,"Civilian","Wye Oak",91,1A,70,-,03:40,1,"","Civilian",2011-03-08,39,0,22,41,0,10,-7,G#/A♭ Minor,4,3wqMCDKWWYHnPLldMskKHe,USMRG1140005,no
7,"Fable Of The Silent Son","Alter Bridge",147,3B,73,-,08:22,0,"post-grunge, alternative metal, hard rock","Pawns & Kings",2022-10-14,25,0,0,27,0,10,-6,C♯/D♭ Major,4,5PxaoYvK0mxvQGhrgnIyHc,ATN262206007,no
8,"C'mon Down","Poor Man's Poison",187,8A,51,-,02:37,62,"southern gothic","Providence",2014-01-28,61,56,0,96,20,20,-10,A Minor,4,2OqfU8bYXte0FVWEKL10KC,TCABT1415411,no
9,"Angela","The Lumineers",130,12B,56,-,03:21,0,"folk pop, indie folk","Cleopatra",2016-04-08,67,65,0,29,0,10,-8,E Major,4,6Zz5CiVpQk2Fz2nV8m3YQm,USDMG1673805,no
10,"Tomorrow","Shakey Graves",98,9B,35,-,04:00,1,"indie folk","Tomorrow",2016-09-02,56,73,0,42,0,20,-11,G Major,3,47KDDZgFiX1w6RFOuLXsSn,USDMG1677702,no
11,"Stick Season","Noah Kahan",118,11B,50,-,03:02,88,"","Stick Season",2022-10-14,66,80,0,80,0,10,-7,A Major,4,0mflMxspEfB0VbI1kyLiAv,USUM72212470,no
12,"Feed the Machine","Poor Man's Poison",176,9A,45,-,03:03,72,"southern gothic","Feed the Machine",2020-07-17,64,46,0,77,10,40,-11,E Minor,4,40wmXUgVB0N5eLK8CuOhm3,TCAEZ2046970,no
13,"Oats In The Water","Ben Howard",130,7A,47,-,04:59,11,"indie folk, folk pop","Every Kingdom",2011-00-00,36,27,30,9,0,10,-9,D Minor,4,1HidXiBQMyHrTf94vxiOLi,GBUM71206832,no
14,"Warm Shadow","Fink",101,9A,56,-,05:46,54,"indie folk","Perfect Darkness",2011-06-13,74,64,25,29,0,10,-12,E Minor,3,3jWwXvWrJ1eFPCUrXJdR3E,GBCFB1102105,no
15,"Highway Tune","Greta Van Fleet",124,12B,96,-,03:00,74,"rock","From The Fires",2017-11-10,58,1,13,51,0,20,-3,E Major,4,7aOor99o8NNLZYElOXlBG1,USUM71702892,no
16,"The Mask And The Mirror","Poor Man's Poison",90,1A,54,-,03:09,51,"southern gothic","The Great Big Lie",2023-04-07,57,44,0,35,0,40,-10,G#/A♭ Minor,4,07FWyhzw3hxJb8uFBmfMP1,USLZJ2345323,no
17,"Black Flies","Ben Howard",132,4B,36,-,06:21,55,"indie folk, folk pop","Every Kingdom",2011-01-01,58,44,1,11,0,0,-13,G#/A♭ Major,4,3JhNsyNQSyrsHcnFRHZN1e,GBUM71104732,no
18,"Everything You're Breathing For","The Parlor Mob",89,8B,82,-,03:46,52,"blues rock, modern blues","And You Were A Crow",2008-04-11,56,0,0,45,0,0,-5,C Major,4,5LzHQ5aVYK828HIWcnralK,NLA320786434,no
19,"Blackbird Song - From  The Walking Dead ","Lee DeWyze",74,8A,27,-,04:14,45,"","Blackbird Song",2014-01-01,29,43,63,19,0,10,-10,A Minor,4,41FUDbrnvoc7RH0APur9jy,USVG21403526,no
20,"Providence","Poor Man's Poison",105,9A,52,-,03:03,68,"southern gothic","Providence",2014-01-28,50,18,0,88,0,0,-10,E Minor,4,4VGR3mr2WbiD0splKGasFc,TCABT1415392,no
21,"Devil's Backbone","The Civil Wars",170,9A,35,-,02:29,24,"southern gothic","The Civil Wars",2013-07-30,25,85,0,30,0,20,-10,E Minor,3,4sd1TWbAnVyFcFRgcBw92t,USQX91301054,no
22,"Nearly Forgot My Broken Heart","Chris Cornell",120,8B,78,-,03:54,60,"grunge","Higher Truth",2015-09-18,59,9,0,66,0,10,-5,C Major,4,7MjRtWS2teufvOiMM0BARZ,USUM71510864,no
23,"Suit in the Back","Quaker City Night Hawks",104,3A,56,-,02:53,0,"blues rock, modern blues, southern rock, southern gothic","QCNH",2019-03-01,74,8,0,52,0,10,-9,A#/B♭ Minor,4,4EzxzCXgjuHFgWx1j2xDHc,USLN61900502,no
24,"Let's Go!","Poor Man's Poison",160,11A,55,-,02:51,59,"southern gothic","The Great Big Lie",2023-04-07,62,62,0,86,0,10,-9,F#/G♭ Minor,4,5kvDeLfKhTbCXiElGeX0bG,USLZJ2345322,no
25,"Shooting Stars - in the Woods","Rival Sons",92,11B,49,-,04:23,47,"blues rock, modern blues","Shooting Stars (in the Woods)",2020-04-24,63,66,0,25,0,30,-4,A Major,4,69mwPY097BcpVDYHOFIAT7,USAT22002265,no
26,"Family","Noah Gundersen",112,11A,21,-,03:34,46,"indie folk","Family",2011-08-06,54,73,0,17,0,20,-12,F#/G♭ Minor,3,7d0M4a8xIM2P6kOxATLPAQ,USHM81100664,yes
27,"The Cave","Mumford & Sons",142,12B,50,-,03:35,65,"folk, indie folk, folk rock","Sigh No More",2009-01-01,59,5,0,35,0,10,-9,E Major,4,2F79HavLHwJlfvvJOkkIQD,GBUM70909075,no
28,"Hey Mister","Poor Man's Poison",77,11B,35,-,02:33,54,"southern gothic","Providence",2014-01-28,59,54,0,47,0,0,-13,A Major,4,44VMH5NwFMqtmHsUTRVDNb,TCABT1415400,no
29,"Do Your Worst","Rival Sons",84,10B,79,-,03:30,58,"blues rock, modern blues","Feral Roots",2019-01-25,39,1,0,41,0,30,-3,D Major,4,1ZDq0oRT40CkuADdE4Jvrq,USAT21810416,no
30,"all-american bitch","Olivia Rodrigo",156,2B,70,-,02:45,78,"","GUTS",2023-09-08,42,22,0,45,0,10,-4,F#/G♭ Major,4,34sOdxWu9FljH84UXdRwu1,USUG12304093,yes
31,"Homesick","Noah Kahan",170,2B,62,-,03:14,75,"","Stick Season",2022-10-14,51,3,0,41,0,30,-7,F#/G♭ Major,4,0jkzxxDG8z3Y5OmfNl1VM0,USUM72217180,yes
32,"Barton Hollow","The Civil Wars",91,10B,66,-,03:25,36,"southern gothic","Barton Hollow",2012-01-26,40,12,0,44,0,0,-7,D Major,4,0CfUA7YMdU8ApQ9JD2pC1G,USW5Q1100007,no
33,"San Luis","Gregory Alan Isakov",82,6A,43,-,04:32,1,"indie folk, folk, folk pop","Evening Machines",2018-10-05,57,86,26,25,0,10,-13,G Minor,4,7gDNQLV9cr8449LFrQbk5J,USDMG1888302,no
34,"Give and Take","Poor Man's Poison",95,9B,60,-,03:17,64,"southern gothic","In the End",2021-08-27,67,64,0,82,0,20,-8,G Major,4,4pZos1A9cAsvHx5kj1O38W,TCAFS2128196,no
35,"Silver Tongue","Alter Bridge",141,3B,94,-,04:18,0,"post-grunge, alternative metal, hard rock","Pawns & Kings",2022-10-14,43,0,0,37,0,40,-5,C♯/D♭ Major,4,1aGwZPN1Zwdt5EwtPXAkk0,ATN262206003,no
36,"bad idea right?","Olivia Rodrigo",130,11B,88,-,03:04,82,"","GUTS",2023-09-08,63,0,0,81,10,0,-4,A Major,4,3IX0yuEVvDbnqUwMBB3ouC,USUG12304094,yes
37,"She Calls Me Back","Noah Kahan",128,1B,69,-,04:03,75,"","Stick Season",2022-10-14,75,8,0,72,0,20,-6,B Major,4,1LvU6IFqQnXOIwJyBDb2io,USUM72217169,yes
38,"At the Bottom of Everything","Bright Eyes",106,8B,49,-,04:33,52,"indie folk","I'm Wide Awake, It's Morning",2005-01-25,51,71,0,78,10,30,-10,C Major,4,39Mzqwp2PBwMy61CVTuLDl,US2U61623701,no
39,"This Is War","Alter Bridge",164,5B,94,-,04:03,0,"post-grunge, alternative metal, hard rock","Pawns & Kings",2022-10-14,38,0,0,32,10,30,-5,D#/E♭ Major,4,5SwtMkOWwF7gfXZpzlUflo,ATN262206001,no
40,"Hard Working Man","Marcus King",128,4A,72,-,03:37,55,"modern blues, blues rock","Young Blood",2022-08-26,50,3,0,71,10,60,-5,F Minor,4,3uQFmhiS49mXaEw2DZbZRr,USUG12202412,no
41,"Lonely Boy","The Black Keys",166,10B,87,-,03:13,71,"blues rock, garage rock, modern blues, rock","El Camino",2011-12-06,36,0,1,61,0,10,-8,D Major,4,5G1sTBGbZT5o4PNRc75RKI,USNO11100273,no
42,"Any Way the Wind Blows","The Cold Stares",86,9B,80,-,03:01,0,"blues rock, modern blues, blues, southern rock","Ways",2019-10-18,61,0,0,63,0,20,-7,G Major,4,5ECVygXKHN7Hqbutsa5bzJ,QZ8GX1700595,no
43,"Awake My Soul","Mumford & Sons",86,10B,47,-,04:15,59,"folk, indie folk, folk rock","Sigh No More",2009-01-01,26,5,3,20,0,0,-10,D Major,1,1AbLS4CyyaCmrYCeYM5mTQ,GBUM70909100,no
44,"The Well","Marcus King",121,11B,57,-,02:57,61,"modern blues, blues rock","El Dorado",2020-01-17,58,0,0,48,0,10,-8,A Major,4,4wszHgvhXYlN2Io813hLQ1,USC4R1906988,no
45,"Everlong","Foo Fighters",158,10A,88,-,04:10,89,"post-grunge, rock, alternative rock, grunge","The Colour And The Shape",1997-05-20,41,0,0,36,0,0,-6,B Minor,4,5UWwZ5lm5PKu6eKsHAGxOk,USRW29600011,no
46,"Devils Price","Poor Man's Poison",177,10B,43,-,04:40,56,"southern gothic","Poor Man's Poison",2009-09-10,61,59,0,81,0,10,-11,D Major,4,1hnfPh6AhAmp1Oyk6hgtq1,USTCZ0932590,no
47,"Ditmas","Mumford & Sons",144,8B,78,-,03:38,48,"folk, indie folk, folk rock","Wilder Mind",2015-05-01,53,1,0,57,0,0,-6,C Major,4,2EFQFWlOli40Ag5ZXHfRWG,GBUM71500533,no
48,"vampire","Olivia Rodrigo",137,7B,53,-,03:39,87,"","GUTS",2023-09-08,48,15,0,32,0,20,-6,F Major,4,1kuGVB7EU95pJObxwvfwKS,USUG12304091,yes
49,"A Troubled Mind","Noah Kahan",114,8B,46,-,03:01,68,"","Cape Elizabeth",2020-05-01,60,55,0,21,0,10,-9,C Major,4,3onPL6KjCPM0K8wZkDeU7y,USUM72009074,no
50,"Work Song","Hozier",177,6B,39,-,03:49,75,"","Hozier",2014-09-19,43,78,0,26,10,10,-8,A#/B♭ Major,3,35PKfoynRpVFoAUE3D5Kc6,IEACJ1400146,no
51,"All the Pretty Girls","KALEO",75,3B,50,-,04:29,70,"","A/B",2016-06-10,47,63,0,35,0,10,-7,C♯/D♭ Major,4,0QQIhT6PtJ5glyn4HKNKQ6,ISV441421101,no
52,"Black Holes (Solid Ground)","The Blue Stones",92,10A,85,-,03:05,0,"blues rock","Black Holes",2018-10-26,56,1,0,26,0,10,-4,B Minor,4,6JsiDFQRx7GHcuf2UroSYB,TCACN1677390,no
53,"The Middle","Jimmy Eat World",162,10B,85,-,02:45,85,"emo, pop punk","Bleed American",2001-07-17,64,4,0,90,0,0,-5,D Major,4,6GG73Jik4jUlQCkKg9JuGO,USDW10110256,no
54,"Wheels","Fink",99,10B,27,-,03:04,37,"indie folk","Perfect Darkness",2011-06-13,73,79,66,18,0,20,-11,D Major,4,6C6RPMlpVvyxdK1Ye373ye,GBCFB1102104,no
55,"Suit and Jacket","Judah & the Lion",164,6B,58,-,03:42,57,"folk pop, christian folk","Folk Hop n' Roll (Deluxe)",2016-03-04,45,22,0,11,0,10,-9,A#/B♭ Major,4,3ILLqwupo1Aa6PBNXxV4ey,QMGSG1700002,no
56,"Way down We Go","KALEO",163,3A,51,-,03:33,85,"","A/B",2016-06-10,49,58,0,34,10,10,-8,A#/B♭ Minor,4,0y1QJc3SJVPKJ1OvFmFqe6,USAT21502122,no
57,"Wild Child","The Black Keys",107,4A,64,-,02:44,68,"blues rock, garage rock, modern blues, rock","Dropout Boogie",2022-05-13,68,2,0,96,0,0,-6,F Minor,4,02bJ6uGeHKfNOhIc9qyA8e,USNO12200033,no
58,"Greedy Man","Poor Man's Poison",164,10A,50,-,03:31,50,"southern gothic","Poor Man's Poison",2009-09-10,56,68,1,87,10,10,-11,B Minor,4,2UB3VxxjRvHQ6BVF0rvLkC,USTCZ0932585,no
59,"ballad of a homeschooled girl","Olivia Rodrigo",120,3B,88,-,03:23,76,"","GUTS",2023-09-08,35,6,0,41,0,30,-3,C♯/D♭ Major,4,5sp71CUt0jXRNqHblPGp7b,USUG12304096,no
60,"Sorry Not Sorry (with Slash) - Rock Version","Demi Lovato,Slash",77,9B,91,-,03:34,46,"hard rock","REVAMPED",2023-09-15,47,0,0,55,20,30,-2,G Major,4,3L3IJAp60VshAFFDjdJ2FE,USUG12303420,yes
61,"Violet","Connor Price,Killa",120,1A,72,-,02:02,68,"","Spin The Globe",2023-01-27,92,2,0,48,0,10,-7,G#/A♭ Minor,4,7IezwtVIJIPC36LpKMR9d7,QZPLS2235276,no
62,"Serpents (Basement)","Sharon Van Etten",112,8A,47,-,04:08,41,"","The Walking Dead: AMC Original Soundtrack, Vol. 2",2014-03-25,30,67,0,17,0,10,-6,A Minor,4,1D5KBb3SBMcZs9J8a1Txbr,USUG11300865,no
63,"In the Morning","The Ballroom Thieves",80,11B,59,-,02:26,45,"folk pop, indie folk","Clouds",2022-07-15,65,25,2,56,0,10,-7,A Major,4,4CAdFDe8JiL6P992pHAGwy,CAN112101002,no
64,"drivers license","Olivia Rodrigo",144,6B,43,-,04:02,88,"","SOUR",2021-05-21,56,77,0,14,0,10,-9,A#/B♭ Major,4,5wANPM4fQCJwkGd4rN57mH,USUG12004749,yes
